,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,
0,,14.0,,,-1.0,1.0,[225   0   0   0   0   0   0],['ID4718'],Role 1,,Round Grinding
1,,13.142857142857142,,,19.0,7.0,[  2  87 142   1  69   4 215],"['ID0937', 'ID4163', 'ID4287', 'ID4955', 'ID4493', 'ID0420', 'ID4618']",Role 2,,Turning & Milling Q.C.
2,,22.428571428571427,,,18.0,7.0,[127 116 111 178 165 119 166],"['ID4429', 'ID4167', 'ID0997', 'ID4794', 'ID4529', 'ID4641', 'ID4932']",Role 3,,Turning & Milling
3,,15.285714285714286,,,17.0,7.0,[ 11  11   7  60   9   2 143],"['ID4445', 'ID4872', 'ID4355', 'ID4882', 'ID4718', 'ID4618', 'ID0998']",Role 4,,Laser Marking
4,,12.714285714285714,,,0.0,7.0,[148  10   3   6 185   9   3],"['ID4882', 'ID4528', 'ID4355', 'ID0420', 'ID0998', 'ID4872', 'ID4718']",Role 5,,Lapping
5,,11.2,,,21.0,5.0,[  1 105  82 170 192   0   0],"['ID0937', 'ID4287', 'ID4493', 'ID4618', 'ID4163']",Role 6,,Final Inspection Q.C.
6,,14.25,,,13.0,4.0,[  1  25  17 234   0   0   0],"['ID4493', 'ID4491', 'ID4291', 'ID4820']",Role 7,,Packing
7,,17.0,,,16.0,7.0,[ 1  2  2 58  4  3 44],"['ID3716', 'ID0420', 'ID4618', 'ID0998', 'ID4528', 'ID4872', 'ID4882']",Role 8,,Flat Grinding
8,,14.285714285714286,,,23.0,7.0,[ 80 160  22 145 115 115  80],"['ID4872', 'ID4385', 'ID4287', 'ID4445', 'ID4355', 'ID4528', 'ID0420']",Role 9,,Round Grinding
9,,14.833333333333334,,,4.0,6.0,[ 3  1  2 42 39 10  0],"['ID4355', 'ID0998', 'ID4385', 'ID4528', 'ID4872', 'ID4882']",Role 10,,Grinding Rework
10,,17.857142857142858,,,12.0,7.0,[20 10 44  6 17  6 11],"['ID3846', 'ID4641', 'ID4219', 'ID4932', 'ID0997', 'ID4622', 'ID4799']",Role 11,,Turning
11,,11.2,,,2.0,5.0,[ 1 29  4 20  1  0  0],"['ID0937', 'ID4287', 'ID4493', 'ID4618', 'ID4163']",Role 12,,Turning Q.C.
12,,15.0,,,6.0,2.0,[2 1 0 0 0 0 0],"['ID3998', 'ID4932']",Role 13,,Stress Relief
13,,5.0,,,5.0,1.0,[1 0 0 0 0 0 0],['ID4493'],Role 14,,Final Inspection
14,,13.333333333333334,,,22.0,3.0,[1 1 2 0 0 0 0],"['ID4287', 'ID4493', 'ID4618']",Role 15,,Nitration Q.C.
15,,16.0,,,8.0,1.0,[2 0 0 0 0 0 0],['ID3641'],Role 16,,Rework Milling
16,,5.0,,,14.0,1.0,[1 0 0 0 0 0 0],['ID4287'],Role 17,,Milling Q.C.
17,,10.0,,,20.0,7.0,[ 1  1 10 11  1  4  2],"['ID0937', 'ID4287', 'ID4326', 'ID4162', 'ID0997', 'ID4873', 'ID4140']",Role 18,,Milling
18,,8.0,,,10.0,1.0,[3 0 0 0 0 0 0],['ID4932'],Role 19,,SETUP     Turning & Milling
19,,12.25,,,9.0,4.0,[2 1 2 1 0 0 0],"['ID4219', 'ID0997', 'ID4445', 'ID4528']",Role 20,,Fix
20,,9.5,,,7.0,2.0,[1 1 0 0 0 0 0],"['ID4219', 'ID4932']",Role 21,,Setup
21,,5.0,,,15.0,1.0,[2 0 0 0 0 0 0],['ID4493'],Role 22,,Round  Q.C.
22,,15.5,,,1.0,2.0,[2 2 0 0 0 0 0],"['ID4851', 'ID4890']",Role 23,,Change Version
23,,14.666666666666666,,,11.0,6.0,[ 1  1  9  7 12  5  0],"['ID0937', 'ID4287', 'ID4132', 'ID3846', 'ID4641', 'ID4932']",Role 24,,Turn & Mill. & Screw Assem
24,,8.0,,,3.0,1.0,[3 0 0 0 0 0 0],['ID4442'],Role 25,,Turning Rework
0,,14.0,14.0,353640.0,,,,ID4718,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
1,,13.142857142857142,3.0,115800.0,,,,ID0937,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
2,,13.142857142857142,13.0,1813920.0,,,,ID4163,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
3,,13.142857142857142,5.0,1973040.0,,,,ID4287,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
4,,13.142857142857142,23.0,240.0,,,,ID4955,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
5,,13.142857142857142,5.0,1221780.0,,,,ID4493,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
6,,13.142857142857142,13.0,1612440.0,,,,ID0420,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
7,,13.142857142857142,30.0,2404920.0,,,,ID4618,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
8,,22.428571428571427,25.0,1860420.0,,,,ID4429,Role 3,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
9,,22.428571428571427,30.0,2397000.0,,,,ID4167,Role 3,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
10,,22.428571428571427,21.0,1676520.0,,,,ID0997,Role 3,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
11,,22.428571428571427,20.0,3986940.0,,,,ID4794,Role 3,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
12,,22.428571428571427,28.0,3420480.0,,,,ID4529,Role 3,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
13,,22.428571428571427,25.0,2712300.0,,,,ID4641,Role 3,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
14,,22.428571428571427,8.0,3777240.0,,,,ID4932,Role 3,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
15,,15.285714285714286,9.0,2346960.0,,,,ID4445,Role 4,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
16,,15.285714285714286,22.0,1547940.0,,,,ID4872,Role 4,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
17,,15.285714285714286,16.0,1480020.0,,,,ID4355,Role 4,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
18,,15.285714285714286,9.0,1228920.0,,,,ID4882,Role 4,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
19,,15.285714285714286,14.0,353640.0,,,,ID4718,Role 4,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
20,,15.285714285714286,30.0,2404920.0,,,,ID4618,Role 4,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
21,,15.285714285714286,7.0,2144400.0,,,,ID0998,Role 4,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
22,,12.714285714285714,9.0,1228920.0,,,,ID4882,Role 5,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
23,,12.714285714285714,8.0,1985460.0,,,,ID4528,Role 5,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
24,,12.714285714285714,16.0,1480020.0,,,,ID4355,Role 5,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
25,,12.714285714285714,13.0,1612440.0,,,,ID0420,Role 5,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
