,0,idTask,quantity,resource,role,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,
0,,13.0,[54 46 52 50],"['Tesca Lobes', 'Anne Olwada', 'Anna Kaufmann', 'Christian Francois']",Role 1,,Create Purchase Requisition
1,,14.0,[ 93  23 115  99],"['Heinz Gutschmidt', 'Esmana Liubiata', 'Francis Odell', 'Maris Freeman']",Role 2,,Create Request for Quotation
2,,11.0,[376 364 367   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None']",Role 3,,Analyze Request for Quotation
3,,3.0,[43 47 50 40],"['Immanuel Karagianni', 'Miu Hanwan', 'Anne Olwada', 'Alberto Duport']",Role 4,,Amend Request for Quotation
4,,9.0,[129 156 128   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None']",Role 5,,Send Request for Quotation to Supplier
5,,4.0,[149 144 120   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None']",Role 6,,Create Quotation comparison Map
6,,6.0,[32 37 33 34],"['Clement Duchot', 'Tesca Lobes', 'Nico Ojenbeer', 'Alberto Duport']",Role 7,,Analyze Quotation Comparison Map
7,,0.0,[35 35 35 37],"['Penn Osterwalder', 'Kim Passa', 'Immanuel Karagianni', 'Fjodor Kowalski']",Role 8,,Choose best option
8,,1.0,[144 125 144   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None']",Role 9,,Settle Conditions With Supplier
9,,10.0,[148 138 127   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None']",Role 10,,Create Purchase Order
10,,12.0,[ 79 102  74  93],"['Karen Clarens', 'Kiu Kan', 'Sean Manney', 'Carmen Finacse']",Role 11,,Confirm Purchase Order
11,,7.0,[90 85 81 83],"['Kiu Kan', 'Esmeralda Clay', 'Sean Manney', 'Carmen Finacse']",Role 12,,Deliver Goods Services
12,,2.0,[38 36 35 34],"['Immanuel Karagianni', 'Tesca Lobes', 'Elvira Lores', 'Nico Ojenbeer']",Role 13,,Release Purchase Order
13,,8.0,[138 142 133   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None']",Role 14,,Approve Purchase Order for payment
14,,15.0,[ 71  80 116  83],"['Karen Clarens', 'Esmeralda Clay', 'Kiu Kan', 'Carmen Finacse']",Role 15,,Send Invoice
15,,17.0,[201 202   0   0],"['Karalda Nimwada', 'Pedro Alvares', 'None', 'None']",Role 16,,Release Supplier's Invoice
16,,5.0,[47 33  7 14],"['Pedro Alvares', 'Karalda Nimwada', 'Karel de Groot', 'Francois de Perrier']",Role 17,,Settle Dispute With Supplier
17,,18.0,[197 216   0   0],"['Karalda Nimwada', 'Pedro Alvares', 'None', 'None']",Role 18,,Authorize Supplier's Invoice payment
18,,19.0,[197 216   0   0],"['Karalda Nimwada', 'Pedro Alvares', 'None', 'None']",Role 19,,Pay Invoice
19,,16.0,[133 124 125   0],"['Maris Freeman', 'Heinz Gutschmidt', 'Francis Odell', 'None']",Role 20,,Analyze Purchase Requisition
20,,20.0,[2 2 2 1],"['Immanuel Karagianni', 'Kim Passa', 'Miu Hanwan', 'Nico Ojenbeer']",Role 21,,Amend Purchase Requisition
0,,,,Tesca Lobes,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
1,,,,Anne Olwada,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
2,,,,Anna Kaufmann,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
3,,,,Christian Francois,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
4,,,,Heinz Gutschmidt,Role 2,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
5,,,,Esmana Liubiata,Role 2,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
6,,,,Francis Odell,Role 2,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
7,,,,Maris Freeman,Role 2,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
