,0,idTask,quantity,resource,role,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,
0,,13.0,[54],['Tesca Lobes'],Role 1,,Create Purchase Requisition
1,,14.0,[115],['Francis Odell'],Role 2,,Create Request for Quotation
2,,11.0,[376],['Magdalena Predutta'],Role 3,,Analyze Request for Quotation
3,,3.0,[50],['Anne Olwada'],Role 4,,Amend Request for Quotation
4,,9.0,[156],['Karel de Groot'],Role 5,,Send Request for Quotation to Supplier
5,,4.0,[149],['Magdalena Predutta'],Role 6,,Create Quotation comparison Map
6,,6.0,[37],['Tesca Lobes'],Role 7,,Analyze Quotation Comparison Map
7,,0.0,[37],['Fjodor Kowalski'],Role 8,,Choose best option
8,,1.0,[144],['Magdalena Predutta'],Role 9,,Settle Conditions With Supplier
9,,10.0,[148],['Magdalena Predutta'],Role 10,,Create Purchase Order
10,,12.0,[102],['Kiu Kan'],Role 11,,Confirm Purchase Order
11,,7.0,[90],['Kiu Kan'],Role 12,,Deliver Goods Services
12,,2.0,[38],['Immanuel Karagianni'],Role 13,,Release Purchase Order
13,,8.0,[142],['Karel de Groot'],Role 14,,Approve Purchase Order for payment
14,,15.0,[116],['Kiu Kan'],Role 15,,Send Invoice
15,,17.0,[202],['Pedro Alvares'],Role 16,,Release Supplier's Invoice
16,,5.0,[47],['Pedro Alvares'],Role 17,,Settle Dispute With Supplier
17,,18.0,[216],['Pedro Alvares'],Role 18,,Authorize Supplier's Invoice payment
18,,19.0,[216],['Pedro Alvares'],Role 19,,Pay Invoice
19,,16.0,[133],['Maris Freeman'],Role 20,,Analyze Purchase Requisition
20,,20.0,[2],['Kim Passa'],Role 21,,Amend Purchase Requisition
0,,,,Tesca Lobes,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
1,,,,Francis Odell,Role 2,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
2,,,,Magdalena Predutta,Role 3,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
3,,,,Anne Olwada,Role 4,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
4,,,,Karel de Groot,Role 5,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
5,,,,Magdalena Predutta,Role 6,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
6,,,,Tesca Lobes,Role 7,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
7,,,,Fjodor Kowalski,Role 8,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
8,,,,Magdalena Predutta,Role 9,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
9,,,,Magdalena Predutta,Role 10,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
10,,,,Kiu Kan,Role 11,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
11,,,,Kiu Kan,Role 12,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
12,,,,Immanuel Karagianni,Role 13,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
13,,,,Karel de Groot,Role 14,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
