,0,idTask,quantity,resource,role,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,
0,,13.0,[41 42 52 44 40 44 46 54 39 43 50 40 41],"['Penn Osterwalder', 'Kim Passa', 'Anna Kaufmann', 'Alberto Duport', 'Elvira Lores', 'Esmana Liubiata', 'Anne Olwada', 'Tesca Lobes', 'Nico Ojenbeer', 'Fjodor Kowalski', 'Christian Francois', 'Clement Duchot', 'Miu Hanwan']",Role 1,,Create Purchase Requisition
1,,14.0,[ 17  17  17 115  18  23  99  18  16  18  18  16  93],"['Penn Osterwalder', 'Miu Hanwan', 'Anna Kaufmann', 'Francis Odell', 'Clement Duchot', 'Esmana Liubiata', 'Maris Freeman', 'Anne Olwada', 'Tesca Lobes', 'Nico Ojenbeer', 'Fjodor Kowalski', 'Immanuel Karagianni', 'Heinz Gutschmidt']",Role 2,,Create Request for Quotation
2,,11.0,[376 364 367   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 3,,Analyze Request for Quotation
3,,3.0,[37 40 40 40 31 36 32 50 22 38 37 43 47],"['Penn Osterwalder', 'Kim Passa', 'Christian Francois', 'Alberto Duport', 'Elvira Lores', 'Esmana Liubiata', 'Clement Duchot', 'Anne Olwada', 'Tesca Lobes', 'Nico Ojenbeer', 'Fjodor Kowalski', 'Immanuel Karagianni', 'Miu Hanwan']",Role 4,,Amend Request for Quotation
4,,9.0,[129 156 128   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 5,,Send Request for Quotation to Supplier
5,,4.0,[149 144 120   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 6,,Create Quotation comparison Map
6,,6.0,[30 29 32 34 25 29 26 37 33 30 27 32 26],"['Penn Osterwalder', 'Kim Passa', 'Christian Francois', 'Alberto Duport', 'Elvira Lores', 'Esmana Liubiata', 'Anne Olwada', 'Tesca Lobes', 'Nico Ojenbeer', 'Fjodor Kowalski', 'Immanuel Karagianni', 'Clement Duchot', 'Miu Hanwan']",Role 7,,Analyze Quotation Comparison Map
7,,0.0,[35 35 28 26 29 27 27 29 32 37 35 27 28],"['Penn Osterwalder', 'Kim Passa', 'Anna Kaufmann', 'Alberto Duport', 'Elvira Lores', 'Esmana Liubiata', 'Anne Olwada', 'Tesca Lobes', 'Nico Ojenbeer', 'Fjodor Kowalski', 'Immanuel Karagianni', 'Clement Duchot', 'Miu Hanwan']",Role 8,,Choose best option
8,,1.0,[144 125 144   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 9,,Settle Conditions With Supplier
9,,10.0,[148 138 127   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 10,,Create Purchase Order
10,,12.0,[ 79  65  74  93 102   0   0   0   0   0   0   0   0],"['Karen Clarens', 'Esmeralda Clay', 'Sean Manney', 'Carmen Finacse', 'Kiu Kan', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 11,,Confirm Purchase Order
11,,7.0,[74 85 81 83 90  0  0  0  0  0  0  0  0],"['Karen Clarens', 'Esmeralda Clay', 'Sean Manney', 'Carmen Finacse', 'Kiu Kan', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 12,,Deliver Goods Services
12,,2.0,[33 30 25 28 35 30 32 36 34 30 38 31 33],"['Penn Osterwalder', 'Kim Passa', 'Anna Kaufmann', 'Alberto Duport', 'Elvira Lores', 'Christian Francois', 'Anne Olwada', 'Tesca Lobes', 'Nico Ojenbeer', 'Fjodor Kowalski', 'Immanuel Karagianni', 'Clement Duchot', 'Miu Hanwan']",Role 13,,Release Purchase Order
13,,8.0,[138 142 133   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 14,,Approve Purchase Order for payment
