,0,avg_costxhour,costxhour,dif_timestamp,members,quantity,resource,role,schedule
0,Resource table: Resources grouped by tasks performed 1.0,,,,,,,,
0,,14.0,,,['Magdalena Predutta'],1.0,,Role 1,
1,,9.0,,,['Karen Clarens'],1.0,,Role 2,
2,,10.0,,,['Penn Osterwalder'],1.0,,Role 3,
3,,28.0,,,['Tesca Lobes'],1.0,,Role 4,
4,,18.0,,,['Heinz Gutschmidt'],1.0,,Role 5,
5,,24.0,,,['Sean Manney'],1.0,,Role 6,
6,,7.0,,,['Miu Hanwan'],1.0,,Role 7,
7,,18.0,,,['Nico Ojenbeer'],1.0,,Role 8,
8,,21.0,,,['Kim Passa'],1.0,,Role 9,
9,,24.0,,,['Christian Francois'],1.0,,Role 10,
10,,7.0,,,['Maris Freeman'],1.0,,Role 11,
11,,4.0,,,['Kiu Kan'],1.0,,Role 12,
12,,16.0,,,['Francis Odell'],1.0,,Role 13,
13,,22.0,,,['Alberto Duport'],1.0,,Role 14,
14,,16.0,,,['Immanuel Karagianni'],1.0,,Role 15,
15,,29.0,,,['Francois de Perrier'],1.0,,Role 16,
16,,30.0,,,['Pedro Alvares'],1.0,,Role 17,
17,,18.0,,,['Esmana Liubiata'],1.0,,Role 18,
18,,2.0,,,['Clement Duchot'],1.0,,Role 19,
19,,17.0,,,['Carmen Finacse'],1.0,,Role 20,
20,,11.0,,,['Karalda Nimwada'],1.0,,Role 21,
21,,11.0,,,['Elvira Lores'],1.0,,Role 22,
22,,24.0,,,['Karel de Groot'],1.0,,Role 23,
23,,26.0,,,['Anne Olwada'],1.0,,Role 24,
24,,11.0,,,['Esmeralda Clay'],1.0,,Role 25,
25,,24.0,,,['Fjodor Kowalski'],1.0,,Role 26,
26,,29.0,,,['Anna Kaufmann'],1.0,,Role 27,
0,,14.0,14.0,1648500.0,,,Magdalena Predutta,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
1,,9.0,9.0,1627140.0,,,Karen Clarens,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
2,,10.0,10.0,24540.0,,,Penn Osterwalder,Role 3,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
3,,28.0,28.0,18000.0,,,Tesca Lobes,Role 4,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
4,,18.0,18.0,14100.0,,,Heinz Gutschmidt,Role 5,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
