,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,
0,,28.5,,,3.0,2.0,[54 52],"['Tesca Lobes', 'Anna Kaufmann']",Role 1,,Create Purchase Requisition
1,,11.5,,,13.0,2.0,[ 99 115],"['Maris Freeman', 'Francis Odell']",Role 2,,Create Request for Quotation
2,,21.5,,,1.0,2.0,[376 367],"['Magdalena Predutta', 'Francois de Perrier']",Role 3,,Analyze Request for Quotation
3,,11.5,,,15.0,2.0,[125 133],"['Francis Odell', 'Maris Freeman']",Role 4,,Analyze Purchase Requisition
4,,19.0,,,17.0,2.0,[129 156],"['Magdalena Predutta', 'Karel de Groot']",Role 5,,Send Request for Quotation to Supplier
5,,19.0,,,7.0,2.0,[149 144],"['Magdalena Predutta', 'Karel de Groot']",Role 6,,Create Quotation comparison Map
6,,25.0,,,9.0,2.0,[34 37],"['Alberto Duport', 'Tesca Lobes']",Role 7,,Analyze Quotation Comparison Map
7,,20.0,,,6.0,2.0,[37 35],"['Fjodor Kowalski', 'Immanuel Karagianni']",Role 8,,Choose best option
8,,21.5,,,0.0,2.0,[144 144],"['Magdalena Predutta', 'Francois de Perrier']",Role 9,,Settle Conditions With Supplier
9,,19.0,,,5.0,2.0,[148 138],"['Magdalena Predutta', 'Karel de Groot']",Role 10,,Create Purchase Order
10,,10.5,,,16.0,2.0,[102  93],"['Kiu Kan', 'Carmen Finacse']",Role 11,,Confirm Purchase Order
11,,7.5,,,14.0,2.0,[90 85],"['Kiu Kan', 'Esmeralda Clay']",Role 12,,Deliver Goods Services
12,,22.0,,,20.0,2.0,[36 38],"['Tesca Lobes', 'Immanuel Karagianni']",Role 13,,Release Purchase Order
13,,19.0,,,19.0,2.0,[138 142],"['Magdalena Predutta', 'Karel de Groot']",Role 14,,Approve Purchase Order for payment
14,,10.5,,,12.0,2.0,[116  83],"['Kiu Kan', 'Carmen Finacse']",Role 15,,Send Invoice
15,,20.5,,,4.0,2.0,[201 202],"['Karalda Nimwada', 'Pedro Alvares']",Role 16,,Release Supplier's Invoice
16,,20.5,,,11.0,2.0,[197 216],"['Karalda Nimwada', 'Pedro Alvares']",Role 17,,Authorize Supplier's Invoice payment
17,,20.5,,,18.0,2.0,[197 216],"['Karalda Nimwada', 'Pedro Alvares']",Role 18,,Pay Invoice
18,,20.5,,,2.0,2.0,[47 33],"['Pedro Alvares', 'Karalda Nimwada']",Role 19,,Settle Dispute With Supplier
19,,16.5,,,10.0,2.0,[47 50],"['Miu Hanwan', 'Anne Olwada']",Role 20,,Amend Request for Quotation
20,,11.5,,,8.0,2.0,[2 2],"['Miu Hanwan', 'Immanuel Karagianni']",Role 21,,Amend Purchase Requisition
0,,28.5,28.0,162300.0,,,,Tesca Lobes,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
1,,28.5,29.0,151680.0,,,,Anna Kaufmann,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
