,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,roleID,role_ID,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,,,
0,,0.0,,,6.0,1.0,[32  0  0  0  0  0  0  0  0  0  0  0  0],['NOT_SET'],Role 1,,Role_1,,DIGITURNO
1,,9.307692307692308,,,10.0,13.0,[ 4  2 17  2  1  1  2  2  3  1  1  1  4],"['177', '166', '2', '167', '22', '309', '341', '171', '238', '163', '329', '314', '19']",Role 2,,Role_2,,TRIAGE
2,,10.692307692307692,,,12.0,13.0,[ 2  2  3  3  1  1  1  2  1  1 12  2  2],"['28', '286', '106', '23', '243', '330', '145', '3', '184', '188', 'NOT_SET', '338', '156']",Role 3,,Role_3,,INGRESOADMISION
3,,12.153846153846153,,,11.0,13.0,[30 34 60 38 52 54 68 68 39 44 35 85 42],"['12', '69', '264', '40', '10', '70', '68', '76', '71', '16', '81', '49', '53']",Role 4,,Role_4,,Folio
4,,0.0,,,9.0,1.0,[43  0  0  0  0  0  0  0  0  0  0  0  0],['NOT_SET'],Role 5,,Role_5,,ATENCIONCONSULTA
5,,0.0,,,1.0,1.0,[34  0  0  0  0  0  0  0  0  0  0  0  0],['NOT_SET'],Role 6,,Role_6,,HOSPITALIZACIONADMISION
6,,0.0,,,5.0,1.0,[39  0  0  0  0  0  0  0  0  0  0  0  0],['NOT_SET'],Role 7,,Role_7,,EGRESOADMISION
7,,11.461538461538462,,,2.0,13.0,[2 2 2 1 1 1 1 1 1 2 1 1 1],"['162', '187', '142', '27', '343', '176', '313', '305', '327', '245', '165', '337', '303']",Role 8,,Role_8,,SALIDAEGRESO
8,,0.0,,,3.0,1.0,[40  0  0  0  0  0  0  0  0  0  0  0  0],['NOT_SET'],Role 9,,Role_9,,SALIDAURGENCIAS
9,,0.0,,,4.0,1.0,[43  0  0  0  0  0  0  0  0  0  0  0  0],['NOT_SET'],Role 10,,Role_10,,FACTURACIONADMISION
10,,10.0,,,7.0,1.0,[1 0 0 0 0 0 0 0 0 0 0 0 0],['295'],Role 11,,Role_11,,ANULACIONADMISION
11,,0.0,,,8.0,1.0,[4 0 0 0 0 0 0 0 0 0 0 0 0],['NOT_SET'],Role 12,,Role_12,,MUERTEEGRESO
