,0,avg_costxhour,costxhour,dif_timestamp,members,quantity,resource,role,schedule
0,Resource table: Resources grouped by tasks performed 0.3,,,,,,,,
0,,15.466666666666667,,,"['ID4140', 'ID4622', 'ID4109', 'ID4162', 'ID4219', 'ID4873', 'ID4641', 'ID4794', 'ID3718', 'ID4529', 'ID4142', 'ID4445', 'ID4160', 'ID4718', 'ID4167', 'ID0997', 'ID4326', 'ID3854', 'ID4132', 'ID4932', 'ID4528', 'ID3846', 'ID4872', 'ID4355', 'ID0937', 'ID4429', 'ID4385', 'ID4783', 'ID4799', 'ID0420']",30.0,,Role 1,
1,,15.2,,,"['ID4618', 'ID4163', 'ID4493', 'ID4287', 'ID4955']",5.0,,Role 2,
2,,17.333333333333332,,,"['ID4291', 'ID4491', 'ID4820']",3.0,,Role 3,
3,,15.5,,,"['ID4851', 'ID4890']",2.0,,Role 4,
4,,8.0,,,"['ID0998', 'ID4882']",2.0,,Role 5,
5,,8.0,,,['ID4442'],1.0,,Role 6,
6,,30.0,,,['ID3716'],1.0,,Role 7,
7,,22.0,,,['ID3998'],1.0,,Role 8,
8,,16.0,,,['ID3641'],1.0,,Role 9,
0,,15.466666666666667,4.0,17820.0,,,ID4140,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
1,,15.466666666666667,16.0,169740.0,,,ID4622,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
2,,15.466666666666667,17.0,20820.0,,,ID4109,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
3,,15.466666666666667,2.0,164460.0,,,ID4162,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
4,,15.466666666666667,11.0,1463160.0,,,ID4219,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
5,,15.466666666666667,25.0,141300.0,,,ID4873,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
6,,15.466666666666667,25.0,2712300.0,,,ID4641,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
7,,15.466666666666667,20.0,3986940.0,,,ID4794,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
8,,15.466666666666667,7.0,3600.0,,,ID3718,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
9,,15.466666666666667,28.0,3420480.0,,,ID4529,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
10,,15.466666666666667,3.0,4500.0,,,ID4142,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
11,,15.466666666666667,9.0,2346960.0,,,ID4445,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
12,,15.466666666666667,18.0,49080.0,,,ID4160,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
13,,15.466666666666667,14.0,353640.0,,,ID4718,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
14,,15.466666666666667,30.0,2397000.0,,,ID4167,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
15,,15.466666666666667,21.0,1676520.0,,,ID0997,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
16,,15.466666666666667,10.0,274380.0,,,ID4326,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
17,,15.466666666666667,4.0,6840.0,,,ID3854,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
18,,15.466666666666667,21.0,1809060.0,,,ID4132,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
19,,15.466666666666667,8.0,3777240.0,,,ID4932,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
20,,15.466666666666667,8.0,1985460.0,,,ID4528,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
21,,15.466666666666667,26.0,1904520.0,,,ID3846,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
22,,15.466666666666667,22.0,1547940.0,,,ID4872,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
