,0,idTask,quantity,resource,role,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,
0,,13.0,[41 42 52 44 40 44 46 54 39 43 32 40 41 50],"['Penn Osterwalder', 'Kim Passa', 'Anna Kaufmann', 'Alberto Duport', 'Elvira Lores', 'Esmana Liubiata', 'Anne Olwada', 'Tesca Lobes', 'Nico Ojenbeer', 'Fjodor Kowalski', 'Immanuel Karagianni', 'Clement Duchot', 'Miu Hanwan', 'Christian Francois']",Role 1,,Create Purchase Requisition
1,,14.0,[ 17 115  17  16  17  23  99  18  16  18  18  16  93  18],"['Penn Osterwalder', 'Francis Odell', 'Anna Kaufmann', 'Alberto Duport', 'Miu Hanwan', 'Esmana Liubiata', 'Maris Freeman', 'Anne Olwada', 'Tesca Lobes', 'Nico Ojenbeer', 'Fjodor Kowalski', 'Immanuel Karagianni', 'Heinz Gutschmidt', 'Clement Duchot']",Role 2,,Create Request for Quotation
2,,11.0,[376 364 367   0   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 3,,Analyze Request for Quotation
3,,3.0,[37 40 21 40 31 36 47 50 22 38 37 43 40 32],"['Penn Osterwalder', 'Kim Passa', 'Anna Kaufmann', 'Alberto Duport', 'Elvira Lores', 'Esmana Liubiata', 'Miu Hanwan', 'Anne Olwada', 'Tesca Lobes', 'Nico Ojenbeer', 'Fjodor Kowalski', 'Immanuel Karagianni', 'Christian Francois', 'Clement Duchot']",Role 4,,Amend Request for Quotation
4,,9.0,[129 156 128   0   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 5,,Send Request for Quotation to Supplier
5,,4.0,[149 144 120   0   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 6,,Create Quotation comparison Map
6,,6.0,[30 29 23 34 25 29 26 37 33 30 27 32 26 32],"['Penn Osterwalder', 'Kim Passa', 'Anna Kaufmann', 'Alberto Duport', 'Elvira Lores', 'Esmana Liubiata', 'Anne Olwada', 'Tesca Lobes', 'Nico Ojenbeer', 'Fjodor Kowalski', 'Immanuel Karagianni', 'Clement Duchot', 'Miu Hanwan', 'Christian Francois']",Role 7,,Analyze Quotation Comparison Map
7,,0.0,[35 35 28 26 29 27 27 29 32 37 35 27 28 18],"['Penn Osterwalder', 'Kim Passa', 'Anna Kaufmann', 'Alberto Duport', 'Elvira Lores', 'Esmana Liubiata', 'Anne Olwada', 'Tesca Lobes', 'Nico Ojenbeer', 'Fjodor Kowalski', 'Immanuel Karagianni', 'Clement Duchot', 'Miu Hanwan', 'Christian Francois']",Role 8,,Choose best option
8,,1.0,[144 125 144   0   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 9,,Settle Conditions With Supplier
9,,10.0,[148 138 127   0   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 10,,Create Purchase Order
10,,12.0,[ 79  65  74  93 102   0   0   0   0   0   0   0   0   0],"['Karen Clarens', 'Esmeralda Clay', 'Sean Manney', 'Carmen Finacse', 'Kiu Kan', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 11,,Confirm Purchase Order
11,,7.0,[74 85 81 83 90  0  0  0  0  0  0  0  0  0],"['Karen Clarens', 'Esmeralda Clay', 'Sean Manney', 'Carmen Finacse', 'Kiu Kan', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 12,,Deliver Goods Services
12,,2.0,[33 30 25 28 35 24 32 36 34 30 38 31 33 30],"['Penn Osterwalder', 'Kim Passa', 'Anna Kaufmann', 'Alberto Duport', 'Elvira Lores', 'Esmana Liubiata', 'Anne Olwada', 'Tesca Lobes', 'Nico Ojenbeer', 'Fjodor Kowalski', 'Immanuel Karagianni', 'Clement Duchot', 'Miu Hanwan', 'Christian Francois']",Role 13,,Release Purchase Order
13,,8.0,[138 142 133   0   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 14,,Approve Purchase Order for payment
14,,15.0,[ 71  80  63  83 116   0   0   0   0   0   0   0   0   0],"['Karen Clarens', 'Esmeralda Clay', 'Sean Manney', 'Carmen Finacse', 'Kiu Kan', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 15,,Send Invoice
15,,17.0,[201 202   0   0   0   0   0   0   0   0   0   0   0   0],"['Karalda Nimwada', 'Pedro Alvares', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 16,,Release Supplier's Invoice
16,,5.0,[ 5 33  7 14 47  0  0  0  0  0  0  0  0  0],"['Magdalena Predutta', 'Karalda Nimwada', 'Karel de Groot', 'Francois de Perrier', 'Pedro Alvares', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 17,,Settle Dispute With Supplier
17,,18.0,[197 216   0   0   0   0   0   0   0   0   0   0   0   0],"['Karalda Nimwada', 'Pedro Alvares', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 18,,Authorize Supplier's Invoice payment
18,,19.0,[197 216   0   0   0   0   0   0   0   0   0   0   0   0],"['Karalda Nimwada', 'Pedro Alvares', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 19,,Pay Invoice
19,,16.0,[133 124 125   0   0   0   0   0   0   0   0   0   0   0],"['Maris Freeman', 'Heinz Gutschmidt', 'Francis Odell', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 20,,Analyze Purchase Requisition
20,,20.0,[1 2 1 1 2 1 2 1 0 0 0 0 0 0],"['Penn Osterwalder', 'Kim Passa', 'Elvira Lores', 'Nico Ojenbeer', 'Immanuel Karagianni', 'Clement Duchot', 'Miu Hanwan', 'Christian Francois', 'None', 'None', 'None', 'None', 'None', 'None']",Role 21,,Amend Purchase Requisition
0,,,,Penn Osterwalder,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
1,,,,Kim Passa,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
2,,,,Anna Kaufmann,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
3,,,,Alberto Duport,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
4,,,,Elvira Lores,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
5,,,,Esmana Liubiata,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
6,,,,Anne Olwada,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
7,,,,Tesca Lobes,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
8,,,,Nico Ojenbeer,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
9,,,,Fjodor Kowalski,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
10,,,,Immanuel Karagianni,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
11,,,,Clement Duchot,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
12,,,,Miu Hanwan,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
13,,,,Christian Francois,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
14,,,,Penn Osterwalder,Role 2,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
15,,,,Francis Odell,Role 2,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
16,,,,Anna Kaufmann,Role 2,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
