,0,idTask,quantity,resource,role,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,
0,,13.0,[43 50 52 44 54 44 46],"['Fjodor Kowalski', 'Christian Francois', 'Anna Kaufmann', 'Alberto Duport', 'Tesca Lobes', 'Esmana Liubiata', 'Anne Olwada']",Role 1,,Create Purchase Requisition
1,,14.0,[ 93 115  18  18  18  23  99],"['Heinz Gutschmidt', 'Francis Odell', 'Clement Duchot', 'Fjodor Kowalski', 'Anne Olwada', 'Esmana Liubiata', 'Maris Freeman']",Role 2,,Create Request for Quotation
2,,11.0,[376 364 367   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None', 'None', 'None']",Role 3,,Analyze Request for Quotation
3,,3.0,[47 40 38 40 40 43 50],"['Miu Hanwan', 'Kim Passa', 'Nico Ojenbeer', 'Alberto Duport', 'Christian Francois', 'Immanuel Karagianni', 'Anne Olwada']",Role 4,,Amend Request for Quotation
4,,9.0,[129 156 128   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None', 'None', 'None']",Role 5,,Send Request for Quotation to Supplier
5,,4.0,[149 144 120   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None', 'None', 'None']",Role 6,,Create Quotation comparison Map
6,,6.0,[30 32 37 34 33 32 30],"['Penn Osterwalder', 'Clement Duchot', 'Tesca Lobes', 'Alberto Duport', 'Nico Ojenbeer', 'Christian Francois', 'Fjodor Kowalski']",Role 7,,Analyze Quotation Comparison Map
7,,0.0,[35 35 35 29 29 32 37],"['Penn Osterwalder', 'Kim Passa', 'Immanuel Karagianni', 'Tesca Lobes', 'Elvira Lores', 'Nico Ojenbeer', 'Fjodor Kowalski']",Role 8,,Choose best option
8,,1.0,[144 125 144   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None', 'None', 'None']",Role 9,,Settle Conditions With Supplier
9,,10.0,[148 138 127   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None', 'None', 'None']",Role 10,,Create Purchase Order
10,,12.0,[ 79  65  74  93 102   0   0],"['Karen Clarens', 'Esmeralda Clay', 'Sean Manney', 'Carmen Finacse', 'Kiu Kan', 'None', 'None']",Role 11,,Confirm Purchase Order
11,,7.0,[74 85 81 83 90  0  0],"['Karen Clarens', 'Esmeralda Clay', 'Sean Manney', 'Carmen Finacse', 'Kiu Kan', 'None', 'None']",Role 12,,Deliver Goods Services
12,,2.0,[33 38 34 33 35 36 32],"['Penn Osterwalder', 'Immanuel Karagianni', 'Nico Ojenbeer', 'Miu Hanwan', 'Elvira Lores', 'Tesca Lobes', 'Anne Olwada']",Role 13,,Release Purchase Order
13,,8.0,[138 142 133   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None', 'None', 'None']",Role 14,,Approve Purchase Order for payment
14,,15.0,[ 71  80  63  83 116   0   0],"['Karen Clarens', 'Esmeralda Clay', 'Sean Manney', 'Carmen Finacse', 'Kiu Kan', 'None', 'None']",Role 15,,Send Invoice
15,,17.0,[201 202   0   0   0   0   0],"['Karalda Nimwada', 'Pedro Alvares', 'None', 'None', 'None', 'None', 'None']",Role 16,,Release Supplier's Invoice
16,,5.0,[ 5 33  7 14 47  0  0],"['Magdalena Predutta', 'Karalda Nimwada', 'Karel de Groot', 'Francois de Perrier', 'Pedro Alvares', 'None', 'None']",Role 17,,Settle Dispute With Supplier
17,,18.0,[197 216   0   0   0   0   0],"['Karalda Nimwada', 'Pedro Alvares', 'None', 'None', 'None', 'None', 'None']",Role 18,,Authorize Supplier's Invoice payment
18,,19.0,[197 216   0   0   0   0   0],"['Karalda Nimwada', 'Pedro Alvares', 'None', 'None', 'None', 'None', 'None']",Role 19,,Pay Invoice
19,,16.0,[133 124 125   0   0   0   0],"['Maris Freeman', 'Heinz Gutschmidt', 'Francis Odell', 'None', 'None', 'None', 'None']",Role 20,,Analyze Purchase Requisition
20,,20.0,[1 2 1 1 2 1 2],"['Penn Osterwalder', 'Kim Passa', 'Elvira Lores', 'Nico Ojenbeer', 'Immanuel Karagianni', 'Clement Duchot', 'Miu Hanwan']",Role 21,,Amend Purchase Requisition
0,,,,Fjodor Kowalski,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
1,,,,Christian Francois,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
2,,,,Anna Kaufmann,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
3,,,,Alberto Duport,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
4,,,,Tesca Lobes,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
5,,,,Esmana Liubiata,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
6,,,,Anne Olwada,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
7,,,,Heinz Gutschmidt,Role 2,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
