,0,idTask,quantity,resource,role,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,
0,,13.0,[41 42 52 44 40 44 46 54 50 43 41 40],"['Penn Osterwalder', 'Kim Passa', 'Anna Kaufmann', 'Alberto Duport', 'Elvira Lores', 'Esmana Liubiata', 'Anne Olwada', 'Tesca Lobes', 'Christian Francois', 'Fjodor Kowalski', 'Miu Hanwan', 'Clement Duchot']",Role 1,,Create Purchase Requisition
1,,14.0,[ 17  18  17  17  93  23  99  18 115  18  18  16],"['Penn Osterwalder', 'Clement Duchot', 'Anna Kaufmann', 'Miu Hanwan', 'Heinz Gutschmidt', 'Esmana Liubiata', 'Maris Freeman', 'Anne Olwada', 'Francis Odell', 'Nico Ojenbeer', 'Fjodor Kowalski', 'Immanuel Karagianni']",Role 2,,Create Request for Quotation
2,,11.0,[376 364 367   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 3,,Analyze Request for Quotation
3,,3.0,[37 40 47 40 31 36 32 50 40 38 37 43],"['Penn Osterwalder', 'Kim Passa', 'Miu Hanwan', 'Alberto Duport', 'Elvira Lores', 'Esmana Liubiata', 'Clement Duchot', 'Anne Olwada', 'Christian Francois', 'Nico Ojenbeer', 'Fjodor Kowalski', 'Immanuel Karagianni']",Role 4,,Amend Request for Quotation
4,,9.0,[129 156 128   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 5,,Send Request for Quotation to Supplier
5,,4.0,[149 144 120   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 6,,Create Quotation comparison Map
6,,6.0,[30 29 26 34 32 29 26 37 33 30 27 32],"['Penn Osterwalder', 'Kim Passa', 'Miu Hanwan', 'Alberto Duport', 'Christian Francois', 'Esmana Liubiata', 'Anne Olwada', 'Tesca Lobes', 'Nico Ojenbeer', 'Fjodor Kowalski', 'Immanuel Karagianni', 'Clement Duchot']",Role 7,,Analyze Quotation Comparison Map
7,,0.0,[35 35 28 28 29 27 27 29 32 37 35 27],"['Penn Osterwalder', 'Kim Passa', 'Anna Kaufmann', 'Miu Hanwan', 'Elvira Lores', 'Esmana Liubiata', 'Anne Olwada', 'Tesca Lobes', 'Nico Ojenbeer', 'Fjodor Kowalski', 'Immanuel Karagianni', 'Clement Duchot']",Role 8,,Choose best option
8,,1.0,[144 125 144   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 9,,Settle Conditions With Supplier
