,0,members,quantity,resource,role,schedule
0,Resource table: Resources grouped by tasks performed 1.0,,,,,
0,,['Karen Clarens'],1.0,,Role 1,
1,,['Penn Osterwalder'],1.0,,Role 2,
2,,['Magdalena Predutta'],1.0,,Role 3,
3,,['Kim Passa'],1.0,,Role 4,
4,,['Esmeralda Clay'],1.0,,Role 5,
5,,['Anna Kaufmann'],1.0,,Role 6,
6,,['Alberto Duport'],1.0,,Role 7,
7,,['Elvira Lores'],1.0,,Role 8,
8,,['Karalda Nimwada'],1.0,,Role 9,
9,,['Esmana Liubiata'],1.0,,Role 10,
10,,['Maris Freeman'],1.0,,Role 11,
11,,['Anne Olwada'],1.0,,Role 12,
12,,['Sean Manney'],1.0,,Role 13,
13,,['Tesca Lobes'],1.0,,Role 14,
14,,['Nico Ojenbeer'],1.0,,Role 15,
15,,['Fjodor Kowalski'],1.0,,Role 16,
16,,['Immanuel Karagianni'],1.0,,Role 17,
17,,['Carmen Finacse'],1.0,,Role 18,
18,,['Heinz Gutschmidt'],1.0,,Role 19,
19,,['Clement Duchot'],1.0,,Role 20,
20,,['Miu Hanwan'],1.0,,Role 21,
21,,['Karel de Groot'],1.0,,Role 22,
22,,['Christian Francois'],1.0,,Role 23,
23,,['Kiu Kan'],1.0,,Role 24,
24,,['Francois de Perrier'],1.0,,Role 25,
25,,['Pedro Alvares'],1.0,,Role 26,
26,,['Francis Odell'],1.0,,Role 27,
0,,,,Karen Clarens,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}"
1,,,,Penn Osterwalder,Role 2,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}"
2,,,,Magdalena Predutta,Role 3,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}"
3,,,,Kim Passa,Role 4,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}"
4,,,,Esmeralda Clay,Role 5,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}"
5,,,,Anna Kaufmann,Role 6,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}"
6,,,,Alberto Duport,Role 7,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}"
7,,,,Elvira Lores,Role 8,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}"
8,,,,Karalda Nimwada,Role 9,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}"
9,,,,Esmana Liubiata,Role 10,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}"
10,,,,Maris Freeman,Role 11,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}"
11,,,,Anne Olwada,Role 12,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}"
12,,,,Sean Manney,Role 13,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}"
13,,,,Tesca Lobes,Role 14,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}"
14,,,,Nico Ojenbeer,Role 15,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}"
15,,,,Fjodor Kowalski,Role 16,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}"
16,,,,Immanuel Karagianni,Role 17,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}"
17,,,,Carmen Finacse,Role 18,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}"
18,,,,Heinz Gutschmidt,Role 19,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}"
