,0,avg_costxhour,costxhour,dif_timestamp,members,quantity,resource,role,schedule
0,Resource table: Resources grouped by tasks performed 1.0,,,,,,,,
0,,30.0,,,['ID4618'],1.0,,Role 1,
1,,9.0,,,['ID4445'],1.0,,Role 2,
2,,13.0,,,['ID0420'],1.0,,Role 3,
3,,18.0,,,['ID4160'],1.0,,Role 4,
4,,2.0,,,['ID4162'],1.0,,Role 5,
5,,5.0,,,['ID4493'],1.0,,Role 6,
6,,22.0,,,['ID4291'],1.0,,Role 7,
7,,8.0,,,['ID4932'],1.0,,Role 8,
8,,16.0,,,['ID3641'],1.0,,Role 9,
9,,16.0,,,['ID4622'],1.0,,Role 10,
10,,13.0,,,['ID4163'],1.0,,Role 11,
11,,26.0,,,['ID3846'],1.0,,Role 12,
12,,30.0,,,['ID3716'],1.0,,Role 13,
13,,17.0,,,['ID4109'],1.0,,Role 14,
14,,13.0,,,['ID4783'],1.0,,Role 15,
15,,28.0,,,['ID4529'],1.0,,Role 16,
16,,7.0,,,['ID0998'],1.0,,Role 17,
17,,8.0,,,['ID4442'],1.0,,Role 18,
18,,30.0,,,['ID4167'],1.0,,Role 19,
19,,22.0,,,['ID4872'],1.0,,Role 20,
20,,25.0,,,['ID4429'],1.0,,Role 21,
21,,14.0,,,['ID4718'],1.0,,Role 22,
22,,10.0,,,['ID4326'],1.0,,Role 23,
23,,22.0,,,['ID3998'],1.0,,Role 24,
24,,3.0,,,['ID0937'],1.0,,Role 25,
25,,25.0,,,['ID4641'],1.0,,Role 26,
26,,27.0,,,['ID4385'],1.0,,Role 27,
27,,23.0,,,['ID4955'],1.0,,Role 28,
28,,2.0,,,['ID4820'],1.0,,Role 29,
29,,4.0,,,['ID3854'],1.0,,Role 30,
30,,7.0,,,['ID3718'],1.0,,Role 31,
31,,21.0,,,['ID4851'],1.0,,Role 32,
32,,20.0,,,['ID4794'],1.0,,Role 33,
33,,5.0,,,['ID4287'],1.0,,Role 34,
34,,28.0,,,['ID4491'],1.0,,Role 35,
35,,8.0,,,['ID4528'],1.0,,Role 36,
36,,9.0,,,['ID4882'],1.0,,Role 37,
37,,18.0,,,['ID4799'],1.0,,Role 38,
38,,25.0,,,['ID4873'],1.0,,Role 39,
39,,4.0,,,['ID4140'],1.0,,Role 40,
40,,11.0,,,['ID4219'],1.0,,Role 41,
41,,21.0,,,['ID4132'],1.0,,Role 42,
42,,3.0,,,['ID4142'],1.0,,Role 43,
43,,10.0,,,['ID4890'],1.0,,Role 44,
44,,21.0,,,['ID0997'],1.0,,Role 45,
45,,16.0,,,['ID4355'],1.0,,Role 46,
0,,30.0,30.0,2404920.0,,,ID4618,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
1,,9.0,9.0,2346960.0,,,ID4445,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
2,,13.0,13.0,1612440.0,,,ID0420,Role 3,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
3,,18.0,18.0,49080.0,,,ID4160,Role 4,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
4,,2.0,2.0,164460.0,,,ID4162,Role 5,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
5,,5.0,5.0,1221780.0,,,ID4493,Role 6,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
