,0,avg_costxhour,costxhour,dif_timestamp,diff_time_res,members,quantity,resource,role,schedule
0,Resource table: Resources grouped by tasks performed 0.8,,,,,,,,,
0,,18.285714285714285,,,,"['Christian Francois', 'Miu Hanwan', 'Nico Ojenbeer', 'Kim Passa', 'Anna Kaufmann', 'Esmana Liubiata', 'Elvira Lores', 'Anne Olwada', 'Immanuel Karagianni', 'Fjodor Kowalski', 'Clement Duchot', 'Tesca Lobes', 'Penn Osterwalder', 'Alberto Duport']",14.0,,Role 1,
1,,13.0,,,,"['Esmeralda Clay', 'Carmen Finacse', 'Sean Manney', 'Kiu Kan', 'Karen Clarens']",5.0,,Role 2,
2,,22.333333333333332,,,,"['Magdalena Predutta', 'Francois de Perrier', 'Karel de Groot']",3.0,,Role 3,
3,,13.666666666666666,,,,"['Francis Odell', 'Maris Freeman', 'Heinz Gutschmidt']",3.0,,Role 4,
4,,20.5,,,,"['Pedro Alvares', 'Karalda Nimwada']",2.0,,Role 5,
0,,18.285714285714285,29.0,151680.0,69420.0,,,Anna Kaufmann,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
1,,18.285714285714285,28.0,162300.0,80640.0,,,Tesca Lobes,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
2,,18.285714285714285,26.0,163560.0,79980.0,,,Anne Olwada,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
3,,13.0,24.0,7389540.0,3746340.0,,,Sean Manney,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
4,,13.0,17.0,7959180.0,3487260.0,,,Carmen Finacse,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
5,,13.0,11.0,7829460.0,3989460.0,,,Esmeralda Clay,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
6,,22.333333333333332,29.0,7418700.0,3405180.0,,,Francois de Perrier,Role 3,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
7,,22.333333333333332,24.0,6787620.0,3353580.0,,,Karel de Groot,Role 3,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
8,,22.333333333333332,14.0,7433280.0,3908880.0,,,Magdalena Predutta,Role 3,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
9,,13.666666666666666,18.0,81720.0,65220.0,,,Heinz Gutschmidt,Role 4,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
10,,13.666666666666666,16.0,78360.0,70800.0,,,Francis Odell,Role 4,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
11,,13.666666666666666,7.0,83580.0,69660.0,,,Maris Freeman,Role 4,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
12,,20.5,30.0,245580.0,128400.0,,,Pedro Alvares,Role 5,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
13,,20.5,11.0,205500.0,107880.0,,,Karalda Nimwada,Role 5,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
