,0,idTask,quantity,resource,role,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,
0,,13.0,[52 54],"['Anna Kaufmann', 'Tesca Lobes']",Role 1,,Create Purchase Requisition
1,,14.0,[115  99],"['Francis Odell', 'Maris Freeman']",Role 2,,Create Request for Quotation
2,,11.0,[376 367],"['Magdalena Predutta', 'Francois de Perrier']",Role 3,,Analyze Request for Quotation
3,,3.0,[50 47],"['Anne Olwada', 'Miu Hanwan']",Role 4,,Amend Request for Quotation
4,,9.0,[129 156],"['Magdalena Predutta', 'Karel de Groot']",Role 5,,Send Request for Quotation to Supplier
5,,4.0,[149 144],"['Magdalena Predutta', 'Karel de Groot']",Role 6,,Create Quotation comparison Map
6,,6.0,[37 34],"['Tesca Lobes', 'Alberto Duport']",Role 7,,Analyze Quotation Comparison Map
7,,0.0,[37 35],"['Fjodor Kowalski', 'Kim Passa']",Role 8,,Choose best option
8,,1.0,[144 144],"['Magdalena Predutta', 'Francois de Perrier']",Role 9,,Settle Conditions With Supplier
9,,10.0,[148 138],"['Magdalena Predutta', 'Karel de Groot']",Role 10,,Create Purchase Order
10,,12.0,[102  93],"['Kiu Kan', 'Carmen Finacse']",Role 11,,Confirm Purchase Order
11,,7.0,[90 85],"['Kiu Kan', 'Esmeralda Clay']",Role 12,,Deliver Goods Services
12,,2.0,[36 38],"['Tesca Lobes', 'Immanuel Karagianni']",Role 13,,Release Purchase Order
13,,8.0,[138 142],"['Magdalena Predutta', 'Karel de Groot']",Role 14,,Approve Purchase Order for payment
14,,15.0,[ 83 116],"['Carmen Finacse', 'Kiu Kan']",Role 15,,Send Invoice
15,,17.0,[201 202],"['Karalda Nimwada', 'Pedro Alvares']",Role 16,,Release Supplier's Invoice
16,,5.0,[47 33],"['Pedro Alvares', 'Karalda Nimwada']",Role 17,,Settle Dispute With Supplier
17,,18.0,[197 216],"['Karalda Nimwada', 'Pedro Alvares']",Role 18,,Authorize Supplier's Invoice payment
18,,19.0,[197 216],"['Karalda Nimwada', 'Pedro Alvares']",Role 19,,Pay Invoice
19,,16.0,[133 125],"['Maris Freeman', 'Francis Odell']",Role 20,,Analyze Purchase Requisition
20,,20.0,[2 2],"['Immanuel Karagianni', 'Kim Passa']",Role 21,,Amend Purchase Requisition
0,,,,Anna Kaufmann,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
1,,,,Tesca Lobes,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
2,,,,Francis Odell,Role 2,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
3,,,,Maris Freeman,Role 2,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
4,,,,Magdalena Predutta,Role 3,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
5,,,,Francois de Perrier,Role 3,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
6,,,,Anne Olwada,Role 4,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
7,,,,Miu Hanwan,Role 4,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
