,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,
0,,20.9,,,18.0,10.0,[43 41 46 50 41 54 44 52 44 42],"['Fjodor Kowalski', 'Penn Osterwalder', 'Anne Olwada', 'Christian Francois', 'Miu Hanwan', 'Tesca Lobes', 'Esmana Liubiata', 'Anna Kaufmann', 'Alberto Duport', 'Kim Passa']",Role 1,,Create Purchase Requisition
1,,16.5,,,14.0,10.0,[ 18  99  23 115  18  18  17  18  93  17],"['Nico Ojenbeer', 'Maris Freeman', 'Esmana Liubiata', 'Francis Odell', 'Anne Olwada', 'Fjodor Kowalski', 'Miu Hanwan', 'Clement Duchot', 'Heinz Gutschmidt', 'Anna Kaufmann']",Role 2,,Create Request for Quotation
2,,22.333333333333332,,,10.0,3.0,[367 364 376   0   0   0   0   0   0   0],"['Francois de Perrier', 'Karel de Groot', 'Magdalena Predutta']",Role 3,,Analyze Request for Quotation
3,,13.666666666666666,,,13.0,3.0,[133 125 124   0   0   0   0   0   0   0],"['Maris Freeman', 'Francis Odell', 'Heinz Gutschmidt']",Role 4,,Analyze Purchase Requisition
4,,18.6,,,9.0,10.0,[38 40 37 40 50 43 47 36 40 37],"['Nico Ojenbeer', 'Alberto Duport', 'Penn Osterwalder', 'Christian Francois', 'Anne Olwada', 'Immanuel Karagianni', 'Miu Hanwan', 'Esmana Liubiata', 'Kim Passa', 'Fjodor Kowalski']",Role 5,,Amend Request for Quotation
5,,22.333333333333332,,,12.0,3.0,[128 156 129   0   0   0   0   0   0   0],"['Francois de Perrier', 'Karel de Groot', 'Magdalena Predutta']",Role 6,,Send Request for Quotation to Supplier
6,,22.333333333333332,,,2.0,3.0,[120 144 149   0   0   0   0   0   0   0],"['Francois de Perrier', 'Karel de Groot', 'Magdalena Predutta']",Role 7,,Create Quotation comparison Map
7,,18.3,,,15.0,10.0,[33 30 37 27 29 32 30 32 34 29],"['Nico Ojenbeer', 'Penn Osterwalder', 'Tesca Lobes', 'Immanuel Karagianni', 'Esmana Liubiata', 'Clement Duchot', 'Fjodor Kowalski', 'Christian Francois', 'Alberto Duport', 'Kim Passa']",Role 8,,Analyze Quotation Comparison Map
8,,16.6,,,0.0,10.0,[32 35 29 35 28 27 29 28 37 35],"['Nico Ojenbeer', 'Penn Osterwalder', 'Tesca Lobes', 'Immanuel Karagianni', 'Miu Hanwan', 'Clement Duchot', 'Elvira Lores', 'Anna Kaufmann', 'Fjodor Kowalski', 'Kim Passa']",Role 9,,Choose best option
9,,22.333333333333332,,,11.0,3.0,[144 125 144   0   0   0   0   0   0   0],"['Francois de Perrier', 'Karel de Groot', 'Magdalena Predutta']",Role 10,,Settle Conditions With Supplier
10,,22.333333333333332,,,20.0,3.0,[127 138 148   0   0   0   0   0   0   0],"['Francois de Perrier', 'Karel de Groot', 'Magdalena Predutta']",Role 11,,Create Purchase Order
11,,13.0,,,7.0,5.0,[102  65  79  93  74   0   0   0   0   0],"['Kiu Kan', 'Esmeralda Clay', 'Karen Clarens', 'Carmen Finacse', 'Sean Manney']",Role 12,,Confirm Purchase Order
12,,13.0,,,3.0,5.0,[90 85 74 83 81  0  0  0  0  0],"['Kiu Kan', 'Esmeralda Clay', 'Karen Clarens', 'Carmen Finacse', 'Sean Manney']",Role 13,,Deliver Goods Services
13,,16.3,,,1.0,10.0,[34 33 32 38 33 31 35 36 30 30],"['Nico Ojenbeer', 'Penn Osterwalder', 'Anne Olwada', 'Immanuel Karagianni', 'Miu Hanwan', 'Clement Duchot', 'Elvira Lores', 'Tesca Lobes', 'Fjodor Kowalski', 'Kim Passa']",Role 14,,Release Purchase Order
14,,22.333333333333332,,,16.0,3.0,[133 142 138   0   0   0   0   0   0   0],"['Francois de Perrier', 'Karel de Groot', 'Magdalena Predutta']",Role 15,,Approve Purchase Order for payment
15,,13.0,,,4.0,5.0,[116  80  71  83  63   0   0   0   0   0],"['Kiu Kan', 'Esmeralda Clay', 'Karen Clarens', 'Carmen Finacse', 'Sean Manney']",Role 16,,Send Invoice
16,,20.5,,,8.0,2.0,[201 202   0   0   0   0   0   0   0   0],"['Karalda Nimwada', 'Pedro Alvares']",Role 17,,Release Supplier's Invoice
17,,20.5,,,6.0,2.0,[197 216   0   0   0   0   0   0   0   0],"['Karalda Nimwada', 'Pedro Alvares']",Role 18,,Authorize Supplier's Invoice payment
