,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,
0,,28.5,,,18.0,2.0,[54 52],"['Tesca Lobes', 'Anna Kaufmann']",Role 1,,Create Purchase Requisition
1,,11.5,,,14.0,2.0,[115  99],"['Francis Odell', 'Maris Freeman']",Role 2,,Create Request for Quotation
2,,21.5,,,10.0,2.0,[367 376],"['Francois de Perrier', 'Magdalena Predutta']",Role 3,,Analyze Request for Quotation
3,,11.5,,,13.0,2.0,[133 125],"['Maris Freeman', 'Francis Odell']",Role 4,,Analyze Purchase Requisition
4,,16.5,,,9.0,2.0,[47 50],"['Miu Hanwan', 'Anne Olwada']",Role 5,,Amend Request for Quotation
5,,19.0,,,12.0,2.0,[129 156],"['Magdalena Predutta', 'Karel de Groot']",Role 6,,Send Request for Quotation to Supplier
6,,19.0,,,2.0,2.0,[149 144],"['Magdalena Predutta', 'Karel de Groot']",Role 7,,Create Quotation comparison Map
7,,25.0,,,15.0,2.0,[37 34],"['Tesca Lobes', 'Alberto Duport']",Role 8,,Analyze Quotation Comparison Map
8,,17.0,,,0.0,2.0,[37 35],"['Fjodor Kowalski', 'Penn Osterwalder']",Role 9,,Choose best option
9,,21.5,,,11.0,2.0,[144 144],"['Francois de Perrier', 'Magdalena Predutta']",Role 10,,Settle Conditions With Supplier
10,,19.0,,,20.0,2.0,[148 138],"['Magdalena Predutta', 'Karel de Groot']",Role 11,,Create Purchase Order
11,,10.5,,,7.0,2.0,[102  93],"['Kiu Kan', 'Carmen Finacse']",Role 12,,Confirm Purchase Order
12,,7.5,,,3.0,2.0,[90 85],"['Kiu Kan', 'Esmeralda Clay']",Role 13,,Deliver Goods Services
13,,22.0,,,1.0,2.0,[36 38],"['Tesca Lobes', 'Immanuel Karagianni']",Role 14,,Release Purchase Order
14,,19.0,,,16.0,2.0,[138 142],"['Magdalena Predutta', 'Karel de Groot']",Role 15,,Approve Purchase Order for payment
15,,10.5,,,4.0,2.0,[116  83],"['Kiu Kan', 'Carmen Finacse']",Role 16,,Send Invoice
16,,20.5,,,8.0,2.0,[201 202],"['Karalda Nimwada', 'Pedro Alvares']",Role 17,,Release Supplier's Invoice
17,,20.5,,,6.0,2.0,[197 216],"['Karalda Nimwada', 'Pedro Alvares']",Role 18,,Authorize Supplier's Invoice payment
18,,20.5,,,19.0,2.0,[197 216],"['Karalda Nimwada', 'Pedro Alvares']",Role 19,,Pay Invoice
19,,20.5,,,5.0,2.0,[47 33],"['Pedro Alvares', 'Karalda Nimwada']",Role 20,,Settle Dispute With Supplier
