,0,idTask,quantity,resource,role,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,
0,,13.0,[46 54 52 50 44],"['Anne Olwada', 'Tesca Lobes', 'Anna Kaufmann', 'Christian Francois', 'Esmana Liubiata']",Role 1,,Create Purchase Requisition
1,,14.0,[ 93  99 115  18  23],"['Heinz Gutschmidt', 'Maris Freeman', 'Francis Odell', 'Anne Olwada', 'Esmana Liubiata']",Role 2,,Create Request for Quotation
2,,11.0,[376 364 367   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None']",Role 3,,Analyze Request for Quotation
3,,3.0,[43 40 47 40 50],"['Immanuel Karagianni', 'Kim Passa', 'Miu Hanwan', 'Alberto Duport', 'Anne Olwada']",Role 4,,Amend Request for Quotation
4,,9.0,[129 156 128   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None']",Role 5,,Send Request for Quotation to Supplier
5,,4.0,[149 144 120   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None']",Role 6,,Create Quotation comparison Map
6,,6.0,[32 33 32 34 37],"['Clement Duchot', 'Nico Ojenbeer', 'Christian Francois', 'Alberto Duport', 'Tesca Lobes']",Role 7,,Analyze Quotation Comparison Map
7,,0.0,[35 35 32 37 35],"['Penn Osterwalder', 'Kim Passa', 'Nico Ojenbeer', 'Fjodor Kowalski', 'Immanuel Karagianni']",Role 8,,Choose best option
8,,1.0,[144 125 144   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None']",Role 9,,Settle Conditions With Supplier
9,,10.0,[148 138 127   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None']",Role 10,,Create Purchase Order
10,,12.0,[ 79  65  74  93 102],"['Karen Clarens', 'Esmeralda Clay', 'Sean Manney', 'Carmen Finacse', 'Kiu Kan']",Role 11,,Confirm Purchase Order
11,,7.0,[74 85 81 83 90],"['Karen Clarens', 'Esmeralda Clay', 'Sean Manney', 'Carmen Finacse', 'Kiu Kan']",Role 12,,Deliver Goods Services
